evaluation_period,group_type,group_value,model,n,mae,rmse,wape,smape,uncensored_n
2024-06-26 to 2024-07-02,product,38,xgb_observed_sales,7,0.5180205762386322,0.864593868570505,0.95424842991327,1.4574958398806823,6
2024-06-26 to 2024-07-02,product,38,xgb_stockout_aware,7,0.4391671553254128,0.7854404328672328,0.8089921282310236,1.3706394538182973,6
2024-06-26 to 2024-07-02,product,41,seasonal_naive,77,0.5275324675324675,0.7319108596635976,0.6801741460147354,0.8939195696556075,22
2024-06-26 to 2024-07-02,product,41,xgb_observed_sales,77,0.570551728103068,0.6941515295792505,0.7356410425977266,0.8763929264771145,22
2024-06-26 to 2024-07-02,product,41,xgb_stockout_aware,77,0.708829987265847,0.8502392949177788,0.9139301577272307,0.8883858491538226,22
2024-06-26 to 2024-07-02,product,44,seasonal_naive,14,0.3357142857142857,0.4200340122282616,0.4947368421052632,0.6634083852292417,7
2024-06-26 to 2024-07-02,product,44,xgb_observed_sales,14,0.32782907986215176,0.40825491190412133,0.4831165387442237,0.8598324158371632,7
2024-06-26 to 2024-07-02,product,44,xgb_stockout_aware,14,0.341436087659427,0.42125690983044445,0.5031689712875768,0.749777750070547,7
2024-06-26 to 2024-07-02,product,45,seasonal_naive,35,0.5257142857142858,0.7067026046567052,0.7634854771784232,0.8317401179586054,8
2024-06-26 to 2024-07-02,product,45,xgb_observed_sales,35,0.28346764530454366,0.3738217644167206,0.41167500355431647,0.44304101695550485,8
2024-06-26 to 2024-07-02,product,45,xgb_stockout_aware,35,0.3063267067500523,0.40640163743674507,0.444872810632856,0.4520833509421955,8
2024-06-26 to 2024-07-02,product,50,seasonal_naive,63,0.4650793650793652,0.5932156116495603,0.8276836158192092,0.9384592941260824,22
2024-06-26 to 2024-07-02,product,50,xgb_observed_sales,63,0.35758535275383596,0.45521226485681027,0.6363807125280131,0.7576698755118726,22
2024-06-26 to 2024-07-02,product,50,xgb_stockout_aware,63,0.36522302712712973,0.45164574403887153,0.6499731838703157,0.7538777481062842,22
2024-06-26 to 2024-07-02,product,53,seasonal_naive,7,0.10999999999999999,0.1458472782448427,0.18075117370892013,0.19670605084138917,4
2024-06-26 to 2024-07-02,product,53,xgb_observed_sales,7,0.11528468336377827,0.14189252753279494,0.18943492571512857,0.18841864119747082,4
2024-06-26 to 2024-07-02,product,53,xgb_stockout_aware,7,0.10761837584631784,0.13256140939070143,0.17683770678972413,0.17674208891811313,4
2024-06-26 to 2024-07-02,product,55,seasonal_naive,14,0.2800000000000001,0.321936107236913,0.39278557114228463,0.4475127327113472,9
2024-06-26 to 2024-07-02,product,55,xgb_observed_sales,14,0.25062641944204056,0.32485021837091865,0.35158014751388456,0.3920374972787914,9
2024-06-26 to 2024-07-02,product,55,xgb_stockout_aware,14,0.23750720339162013,0.3161146681344103,0.3331764376235152,0.36259654989650153,9
2024-06-26 to 2024-07-02,product,63,seasonal_naive,7,0.35714285714285715,0.4456135417280635,0.6756756756756757,0.603593399082121,7
2024-06-26 to 2024-07-02,product,63,xgb_observed_sales,7,0.30306885072163176,0.3899810433329417,0.5733735013652492,0.6457374188238071,7
2024-06-26 to 2024-07-02,product,63,xgb_stockout_aware,7,0.30716956257820127,0.40063334791905747,0.581131604877678,0.6525514935301179,7
2024-06-26 to 2024-07-02,product,64,seasonal_naive,14,0.2257142857142857,0.26629736332582365,0.6245059288537549,0.7477279533883309,8
2024-06-26 to 2024-07-02,product,64,xgb_observed_sales,14,0.14364607849291391,0.16970761747842095,0.3974397428657698,0.4275537674836901,8
2024-06-26 to 2024-07-02,product,64,xgb_stockout_aware,14,0.1221503072977066,0.14847008398958864,0.3379652771082791,0.36617587924632783,8
2024-06-26 to 2024-07-02,product,65,seasonal_naive,7,0.49000000000000005,0.5365098854101917,0.8639798488664988,0.9540000423845552,6
2024-06-26 to 2024-07-02,product,65,xgb_observed_sales,7,0.2199864794526781,0.2530008832109648,0.3878854801432612,0.5191186457000101,6
